step,split,loss,perplexity,lr,tokens,elapsed_s
3140,train,2.182636,8.8697,2.916442e-04,51445760,1462.5
3160,train,2.113360,8.2760,2.914889e-04,51773440,1472.6
3180,train,2.162372,8.6917,2.913322e-04,52101120,1481.9
3200,train,2.146514,8.5550,2.911741e-04,52428800,1491.1
3220,train,2.204651,9.0671,2.910147e-04,52756480,1500.8
3240,train,2.179550,8.8423,2.908538e-04,53084160,1511.0
3260,train,2.186908,8.9076,2.906916e-04,53411840,1521.0
3280,train,2.097612,8.1467,2.905280e-04,53739520,1531.6
3300,train,2.131973,8.4315,2.903631e-04,54067200,1542.1
3320,train,2.189786,8.9333,2.901967e-04,54394880,1552.9
3340,train,2.197659,9.0039,2.900290e-04,54722560,1563.6
3360,train,2.047040,7.7449,2.898600e-04,55050240,1574.4
3380,train,2.171118,8.7681,2.896895e-04,55377920,1584.9
3400,train,2.169207,8.7513,2.895177e-04,55705600,1595.6
3420,train,2.104416,8.2023,2.893446e-04,56033280,1606.4
3440,train,2.195822,8.9874,2.891701e-04,56360960,1617.3
3460,train,2.058623,7.8352,2.889942e-04,56688640,1628.0
3480,train,2.220046,9.2078,2.888170e-04,57016320,1638.4
3500,train,2.111888,8.2638,2.886384e-04,57344000,1648.2
3500,val,2.038894,7.6821,2.886384e-04,57344000,1652.6
3520,train,2.088632,8.0739,2.884584e-04,57671680,1663.7
3540,train,2.243915,9.4302,2.882771e-04,57999360,1673.7
3560,train,2.181538,8.8599,2.880945e-04,58327040,1683.1
3580,train,2.130426,8.4185,2.879105e-04,58654720,1692.0
3600,train,2.133310,8.4428,2.877252e-04,58982400,1702.2
3620,train,2.222837,9.2335,2.875385e-04,59310080,1713.0
3640,train,2.152972,8.6104,2.873505e-04,59637760,1723.7
3660,train,2.098579,8.1546,2.871612e-04,59965440,1734.3
3680,train,2.079699,8.0021,2.869705e-04,60293120,1744.9
3700,train,2.152145,8.6033,2.867785e-04,60620800,1755.5
3720,train,2.110421,8.2517,2.865851e-04,60948480,1765.5
3740,train,2.039606,7.6876,2.863904e-04,61276160,1775.1
3760,train,2.091686,8.0986,2.861944e-04,61603840,1779.6
3780,train,2.153570,8.6156,2.859971e-04,61931520,1784.0
3800,train,2.103683,8.1963,2.857984e-04,62259200,1788.4
3820,train,2.092745,8.1071,2.855985e-04,62586880,1792.8
3840,train,2.022038,7.5537,2.853972e-04,62914560,1797.2
3860,train,2.151131,8.5946,2.851945e-04,63242240,1801.6
3880,train,2.089866,8.0838,2.849906e-04,63569920,1806.0
3900,train,2.058291,7.8326,2.847854e-04,63897600,1810.5
3920,train,2.116117,8.2989,2.845788e-04,64225280,1815.6
3940,train,2.126913,8.3889,2.843710e-04,64552960,1824.3
3960,train,2.110517,8.2525,2.841618e-04,64880640,1832.6
3980,train,2.035979,7.6597,2.839513e-04,65208320,1841.9
